891,OK
892,OK
893,OK
1004,NO-LEG
894,OK-CHECK
1005,OK
1178,OK
899,NO-LEG
906,NO-LEG
909,OK
910,OK
913,NO-LEG
1179,NO-LEG
1180,NO-LEG
918,OK
1181,NO
923,OK
924,OK
1006,NO
1008,NO-LEG
1009,NO-LEG
1183,OK
937,OK
938,OK
939,OK
941,NO-LEG
943,NO-LEG
944,OK
947,OK
1010,NO-LEG
1011,NO-LEG
1184,OK
951,NO-LEG
1012,OK-CHECK
953,OK
956,OK
958,OK-CHECK
961,OK
963,OK
964,OK
965,NO-LEG
968,NO-LEG
969,NO-LEG
1014,OK
1015,NO-LEG
971,OK
972,NO-LEG
973,NO-LEG
975,NO
976,NO
1016,NO-LEG
977,OK
980,OK-CHECK
981,NO-LEG
982,OK
983,NO-LEG
984,OK
986,NO-LEG
1017,NO-LEG
1018,NO-LEG
1019,NO-LEG
1020,NO-LEG
987,OK
989,NO-LEG
992,OK-CHECK
993,NO-LEG
1022,NO-LEG
1023,OK-CHECK
1024,NO-LEG
1025,NO-LEG
1026,NO-LEG
1000,OK
1028,NO-LEG
1001,NO-LEG
1029,NO-LEG
1030,NO-LEG
1032,NO-LEG
1033,NO-LEG
1034,NO-LEG
1035,NO-LEG
1036,NO-LEG
1037,NO-LEG
1038,NO-LEG
1039,NO-LEG
1040,NO-LEG
1042,NO-LEG
1043,NO-LEG
1044,NO-LEG
1045,OK-CHECK
1046,NO-LEG
1047,NO-LEG
1048,NO-LEG
1051,NO-LEG
1052,NO-LEG
1058,NO
1185,NO-LEG
1066,NO-LEG
1067,NO-LEG
1068,NO-LEG
1069,NO-LEG
1070,NO-LEG
1071,NO-LEG
1072,NO-LEG
1075,NO-LEG
1076,OK
1079,NO-LEG
1186,OK
1081,OK
1082,NO-LEG
1088,NO-LEG
1093,NO-LEG
1095,NO-LEG
1096,NO-LEG
1097,NO-LEG
1099,NO-LEG
1101,NO-LEG
1102,NO-LEG
1103,NO-LEG
1104,NO-LEG
1105,NO-LEG
1107,NO-LEG
1108,NO-LEG
1109,NO-LEG
1110,NO-LEG
1111,OK-CHECK
1187,NO-LEG
1112,OK
1113,NO-LEG
1114,NO-LEG
1115,NO
1116,OK-CHECK
1117,NO-LEG
1120,NO-LEG
1121,NO-LEG
1122,NO
1123,NO
1124,NO-LEG
1125,NO-LEG
1126,NO-LEG
1188,OK
1131,NO-LEG
1132,NO-LEG
1133,NO-LEG
1134,OK-CHECK
1137,OK
1139,OK
1140,OK-CHECK
1141,NO-LEG
1142,NO-LEG
1143,NO
1145,NO-LEG
1146,NO-LEG
1147,NO-LEG
1149,NO
1155,NO-LEG
1156,NO
1158,OK-CHECK
1164,NO-LEG
1169,NO-LEG
1171,OK
1172,OK
1174,OK
1176,OK
1189,NO-LEG
1190,NO-LEG
1195,NO-LEG
1202,NO-LEG
1205,NO-LEG
1209,OK
1210,NO-LEG
1211,NO-LEG
1212,NO
1214,NO-LEG
1215,NO
1216,NO-LEG
1220,NO-LEG
1222,NO-LEG
1223,OK
1224,NO-LEG
1225,NO-LEG
1226,NO-LEG
1228,OK-CHECL
1230,NO-LEG
1232,NO-LEG
1238,NO-LEG
1241,NO-LEG
1250,OK
1251,OK
1253,OK
1257,NO-LEG
1261,NO-LEG
1264,NO-LEG
